"Country","HDICAT","AIPmean"
"Dominican Republic","High",4.53333333333333
"Cyprus","Very High",4.4
"Qatar","Very High",4.06666666666667
"Panama","High",4
"Iceland","Very High",3.86666666666667
"Ecuador","High",3.75555555555556
"Sri Lanka","High",3.73333333333333
"Thailand","High",3.66666666666667
"Kenya","Medium",3.66666666666667
"Turkey","High",3.65185185185185
"Uruguay","High",3.6
"France","Very High",3.56410256410256
"Iran","High",3.53333333333333
"Myanmar","Medium",3.53333333333333
"Nicaragua","Medium",3.53333333333333
"Greece","Very High",3.53333333333333
"Poland","Very High",3.53333333333333
"Egypt","Medium",3.46666666666667
"New Zealand","Very High",3.45
"Sweden","Very High",3.42222222222222
"Ukraine","High",3.36666666666667
"Austria","Very High",3.35555555555556
"Vietnam","Medium",3.33333333333333
"Belgium","Very High",3.33333333333333
"Venezuela","High",3.33333333333333
"Germany","Very High",3.32592592592593
"Hong Kong","Very High",3.32380952380952
"Singapore","Very High",3.3
"Portugal","Very High",3.28571428571429
"Malaysia","High",3.28333333333333
"Chile","Very High",3.26666666666667
"Brazil","High",3.24210526315789
"South Africa","Medium",3.23333333333333
"Netherlands","Very High",3.21666666666667
"Afghanistan","Low",3.2
"Romania","Very High",3.2
"Spain","Very High",3.18461538461538
"Finland","Very High",3.18333333333333
"Philippines","Medium",3.17575757575758
"Macedonia","High",3.13333333333333
"Czech Republic","Very High",3.13333333333333
"Saudi Arabia","Very High",3.13333333333333
"United Kingdom","Very High",3.08732943469786
"Japan","Very High",3.08717948717949
"Slovenia","Very High",3.07777777777778
"Lithuania","Very High",3.06666666666667
"Italy","Very High",3.06545454545455
"Canada","Very High",3.03009845288326
"Ireland","Very High",3.02352941176471
"Norway","Very High",3.01904761904762
"Bahamas","High",3
"Botswana","Medium",3
"Russia","Very High",3
"Australia","Very High",2.98503401360544
"India","Medium",2.97179487179487
"China","High",2.96969696969697
"United States","Very High",2.94654862714909
"Bolivia","Medium",2.93333333333333
"Malta","Very High",2.83333333333333
"Bulgaria","High",2.8
"Pakistan","Medium",2.8
"Ghana","Medium",2.76666666666667
"Mexico","High",2.76296296296296
"Denmark","Very High",2.68888888888889
"Switzerland","Very High",2.65333333333333
"Algeria","High",2.62222222222222
"Peru","High",2.56666666666667
"Hungary","Very High",2.53333333333333
"Croatia","Very High",2.46666666666667
"Argentina","Very High",2.43333333333333
"Andorra","Very High",2.4
"Guyana","Medium",2.26666666666667
"Albania","High",2.06666666666667
"Luxembourg","Very High",1.86666666666667
"Barbados","High",1.8
"South Korea","Very High",1.6
