"Rank","RankChng","Country","HDI","HDICHNG","HDICAT"
"1","","Norway","0.949","0.001","Very High"
"2","(1)","Australia","0.939","0.002","Very High"
"2","","Switzerland","0.939","0.001","Very High"
"4","","Germany","0.926","0.002","Very High"
"5","(1)","Denmark","0.925","0.002","Very High"
"5","(1)","Singapore","0.925","0.001","Very High"
"7","(1)","Netherlands","0.924","0.001","Very High"
"8","","Ireland","0.923","0.003","Very High"
"9","","Iceland","0.921","0.002","Very High"
"10","(1)","Canada","0.920","0.001","Very High"
"10","(1)","United States","0.920","0.002","Very High"
"12","","Hong Kong","0.917","0.001","Very High"
"13","","New Zealand","0.915","0.002","Very High"
"14","(1)","Sweden","0.913","0.004","Very High"
"15","(1)","Liechtenstein","0.912","0.001","Very High"
"16","","United Kingdom","0.909","0.001","Very High"
"17","","Japan","0.903","0.001","Very High"
"18","","South Korea","0.901","0.002","Very High"
"19","","Israel","0.899","0.001","Very High"
"20","","Luxembourg","0.898","0.002","Very High"
"21","(1)","France","0.897","0.003","Very High"
"22","(1)","Belgium","0.896","0.001","Very High"
"23","","Finland","0.895","0.002","Very High"
"24","","Austria","0.893","0.001","Very High"
"25","","Slovenia","0.890","0.002","Very High"
"26","(1)","Italy","0.887","0.006","Very High"
"27","(1)","Spain","0.884","0.002","Very High"
"28","","Czech Republic","0.878","0.003","Very High"
"29","","Greece","0.866","0.001","Very High"
"30","","Brunei","0.865","0.001","Very High"
"30","(1)","Estonia","0.865","0.002","Very High"
"32","","Andorra","0.858","0.001","Very High"
"33","(1)","Cyprus","0.856","0.002","Very High"
"33","(2)","Malta","0.856","0.003","Very High"
"33","","Qatar","0.856","0.001","Very High"
"36","","Poland","0.855","0.003","Very High"
"37","","Lithuania","0.848","0.002","Very High"
"38","","Chile","0.847","0.002","Very High"
"38","","Saudi Arabia","0.847","0.002","Very High"
"40","","Slovakia","0.845","0.003","Very High"
"41","","Portugal","0.843","0.002","Very High"
"42","","United Arab Emirates","0.840","0.004","Very High"
"43","","Hungary","0.836","0.002","Very High"
"44","","Latvia","0.830","0.002","Very High"
"45","","Argentina","0.827","0.001","Very High"
"45","(1)","Croatia","0.827","0.004","Very High"
"47","(1)","Bahrain","0.824","0.001","Very High"
"48","(1)","Montenegro","0.807","0.003","Very High"
"49","(1)","Russia","0.804","0.001","Very High"
"50","(1)","Romania","0.802","0.004","Very High"
"51","(1)","Kuwait","0.800","0.001","Very High"
"52","(1)","Belarus","0.796","0.002","High"
"52","(1)","Oman","0.796","0.001","High"
"54","","Barbados","0.795","0.001","High"
"54","","Uruguay","0.795","0.001","High"
"56","(1)","Bulgaria","0.794","0.002","High"
"56","","Kazakhstan","0.794","0.001","High"
"58","","Bahamas","0.792","0.002","High"
"59","","Malaysia","0.789","0.010","High"
"60","(2)","Palau","0.788","0.005","High"
"60","","Panama","0.788","0.003","High"
"62","(1)","Antigua and Barbuda","0.786","0.002","High"
"63","","Seychelles","0.782","0.001","High"
"64","","Mauritius","0.781","0.002","High"
"65","(1)","Trinidad and Tobago","0.780","0.001","High"
