"Countryres","Age","Gender","Kids","Edu","WorkStatus","AnnualIncome","CurrentOccup","Timeinposyr","Timeinposmn","Communitysize","MaritalStatus","Numsons","Numdaughters","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","UCONSPRO","OTHCONSPRO","dpmean","aipmean","gpmean","swlsmean","Rank","RankChng","HDI","HDICHNG","HDICAT"
"Afghanistan",55,"Male","Yes Kids","ma","full-time",150000,"",0,0,"Large Town","Married","4",2,4,4,4,3,3,3,4,5,4,3,4,3,5,4,3,5,5,1,5,4,4,4,5,3,1,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,3,2,2,2,"yes","yes",3.6,3.86666666666667,3.7,2.4,"169","",0.479,"","Low"
"Afghanistan",55,"Male","No Kids","deg","full-time",87500,"",0,6,"Large Town","Married","0",0,3,3,3,4,3,3,2,2,2,3,2,3,3,2,3,4,2,4,2,3,4,2,4,3,3,3,3,4,4,2,2,3,2,4,3,4,3,3,4,4,3,2,2,3,2,"yes","no",3.2,2.66666666666667,3.2,2.4,"169","",0.479,"","Low"
"Afghanistan",55,"Female","Yes Kids","deg","full-time",10000,"",7,0,"Village","Divorced","4",0,4,3,4,3,2,1,2,1,4,3,5,4,4,3,3,3,4,3,3,3,3,2,2,5,3,3,3,5,3,1,2,3,1,1,3,3,3,4,3,3,1,1,1,3,1,"no","yes",3.2,3.06666666666667,2.8,1.4,"169","",0.479,"","Low"
"Albania",45,"Female","No Kids","ltuni","full-time",150000,"",0,0,"Large Town","Single","0",0,3,3,5,3,3,3,1,2,1,2,2,2,2,1,2,3,2,2,1,5,5,3,2,2,5,4,5,5,5,1,3,4,5,5,5,4,3,4,4,4,3,3,3,4,2,"yes","no",3.4,2.06666666666667,3.9,3,"75","",0.764,"0.002","High"
"Algeria",55,"Female","Yes Kids","dip","full-time",55000,"ASSOC. GOVERNMENTAL PROGRAM ANALYST",28,0,"Large-City","Married","0",4,3,2,1,1,1,2,1,1,3,3,5,1,2,3,3,1,1,1,2,3,3,1,1,3,4,1,2,2,3,1,3,3,2,2,3,3,2,3,3,2,3,3,4,4,5,"yes","no",1.6,2.13333333333333,2.35,3.8,"83","(1)",0.745,"0.002","High"
"Algeria",45,"Male","Yes Kids","ma","full-time",35000,"",10,0,"Village","Married","2",0,4,4,5,4,4,4,1,4,1,3,3,4,2,3,3,3,1,5,3,3,3,2,4,3,3,4,4,2,4,3,2,4,4,2,4,4,4,4,4,4,3,3,4,4,4,"yes","yes",4.2,2.86666666666667,3.4,3.6,"83","(1)",0.745,"0.002","High"
"Algeria",37.5,"Female","No Kids","deg","full-time",67500,"",9,6,"Village","Married","0",0,4,4,5,5,4,1,2,5,4,2,3,3,3,1,3,5,3,2,3,3,4,2,4,3,4,5,2,5,3,1,5,3,1,3,4,5,4,3,2,5,5,5,5,3,3,"yes","no",4.4,2.86666666666667,3.4,4.2,"83","(1)",0.745,"0.002","High"
"Andorra",55,"Male","Yes Kids","ma","full-time",250000,"FINANCIAL",23,0,"Large-City","Married","0",5,2,2,2,2,2,1,2,3,2,2,2,2,3,2,2,4,4,3,2,2,3,2,2,2,2,2,3,3,3,2,2,3,2,2,2,3,4,3,2,4,3,4,4,4,3,"no","no",2,2.4,2.55,3.6,"32","",0.858,"0.001","Very High"
"Argentina",45,"Male","Yes Kids","deg","full-time",55000,"",7,0,"Village","Married","1",2,4,4,4,3,2,1,1,3,4,3,5,5,3,4,3,2,3,3,3,2,4,3,1,3,2,2,2,3,4,2,2,4,3,3,4,3,2,4,4,4,4,4,3,4,3,"yes","yes",3.4,3,2.95,3.6,"45","",0.827,"0.001","Very High"
"Argentina",32.5,"Female","No Kids","deg","full-time",67500,"MANAGER",3,0,"Large-City","Single","0",0,2,1,2,2,2,1,1,1,1,5,4,1,2,2,2,3,1,2,1,1,3,2,1,4,3,2,2,2,3,5,4,1,1,1,2,2,2,2,3,2,3,4,3,4,4,"yes","no",1.8,1.86666666666667,2.35,3.6,"45","",0.827,"0.001","Very High"
